iews/R2P7WLA3ETZS4X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Patrick,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AFST6TFB2N5DODZUHUBJKU6TUMKA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-06-07
B08JGBB9N1,Very thin and clingy,The length was good but they are very thin and clingy. If you don’t mind your bulge showing….,Y,,"Size: Large | Color: 5 Pack Black, Black, Navy, Dark Grey, Light Grey",2,0,,,,,https://www.amazon.com/gp/customer-reviews/R2H2XHYWGP2QEY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,christina,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AEQ7FY2U552U3DSIO4G5SAAEC7QA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-31
B0BWQS38L3,Very small,Product is very small for a 3x,Y,,"Size: 3X-Large | Color: 2 Pack Black, Navy",2,0,,,,,https://www.amazon.com/gp/customer-reviews/RI1ZYTMEUTON1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,EARL BELL,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AE45B5ASLQ2DDARGKFBQI2DBWAYQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-31
B0BWQRRR3X,Is everything getting thinner?,Came in the correct size I wanted. These shorts are pretty thin though. If you don't mind showing what you got...they're a good choice.,Y,,"Size: 3X-Large | Color: 5 Pack Black, Navy, Blue, Dark Grey, Light Grey",4,0,,,,,https://www.amazon.com/gp/customer-reviews/R1D8ZPUUTKT1PY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,jai,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AEXCWGO42UZLLPTIH4V3PJMF4MRQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-31
B08JGC1D2G,Runs Small,"Medium too tight in the waist, Runs small.",Y,,"Size: Medium | Color: 5 Pack Black, Black, Navy, Dark Grey, Light Grey",1,1,,,,,https://www.amazon.com/gp/customer-reviews/R3M37S2HHY1SE0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Joshua Bernadas,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AGNNLIIW7J6R7L66EZZHOLL5BTTQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-30
B08JGBB9N1,Bad quality,Super thin and see through. Can’t wear these out. Waste of $$. Your better off buying better quality shorts.,Y,,"Size: Large | Color: 5 Pack Black, Black, Navy, Dark Grey, Light Grey",1,1,,,,,https://www.amazon.com/gp/customer-reviews/R27M4140A40HEK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Edgar,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AHD76PGEX6JNGMBT22M52XQP7VSQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-29
B08C21RGFD,Different fit to each shorts,"Each short in the 2 pack fits differently.  The black pair is the smaller of the 2 pairs.  The blue fits ok.  I have a pair of the 3xl in black that are slightly to big, so I decided to try the xxl and they were smaller than I wanted.  I will keep the xxls, but was disappointed in the sizing differences.",,,"Size: XX-Large | Color: 2 Pack Black, Navy",3,0,,,,,https://www.amazon.com/gp/customer-reviews/R2A5ZRJPVMVHXS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Christopher D. Pequignot,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AFS4FXQD7DYLA5O6RRU2QSYZFM2Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-29
B0BWQMXHMR,Nice,I got these for my bf. They are a nice material and have good pockets.,Y,,"Size: 3X-Large | Color: 5 Pack Black, Black, Navy, Dark Grey, Light Grey",4,0,,,,,https://www.amazon.com/gp/customer-reviews/R1SJKDF2W18JSI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Lovely,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/3b269119-e676-4519-8057-429988bc70e6._CR0,0,375,375_SX48_.jpg",US,https://www.amazon.com/gp/profile/amzn1.account.AEL4LIPTPMKEOI6D47LZRZLIWGHA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-29
B08JGBB9N1,Got them for lil bro,I didn’t like the quality but he said they were good,Y,,"Size: Large | Color: 5 Pack Black, Black, Navy, Dark Grey, Light Grey",4,0,,,,,https://www.amazon.com/gp/customer-reviews/R4KDWEG6E2FOZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Aroura,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AFCMA3LHYNVY2NIMG7WK2AAVKACA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-26
B08C2GLSB4,Very uncomfortable...do no purchase these!,"Waist is very uncomfortable!. Too much elastic, rubs against your skin, fit very tight, very bad quality garment",Y,,"Size: X-Large | Color: 3 Pack Black, Navy, Light Grey",1,1,,,,,https://www.amazon.com/gp/customer-reviews/R1KNRSYOCFK55Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Kevin M. Dobson,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AH3IRIK2J3MEV7EHRFGEQEXARBSA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-23
B08JGBB9N1,Thin and silky like women’s panties,"These are nothing like advertised. They are thin. Seams are not quality. I’m seeing the seller will not refund the product. Frankly, they should sell it. I’ll give to homeless folks for $30 spend in my part. But I recommend you DO NOT BUY this item. There are better. They are packaged better than they are made.",Y,,"Size: Large | Color: 5 Pack Black, Black, Navy, Dark Grey, Light Grey",1,1,,,,,https://www.amazon.com/gp/customer-reviews/R17YXS0FPQSC5F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08C2Q49MR,Jean M. Chalupsky,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",US,https://www.amazon.com/gp/profile/amzn1.account.AFDHAUIVUACDB5LZCZ7TZFNFHMLQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,,2024-05-23
